,댓글 작성자,댓글,좋아요 개수,하트 유/무
98,포르투나,이 경기는 사실 피겨스케이팅이란걸 모르는 사람인 제가봤을 때 김연아 잘했다. 생각했었음. 금메달딴 불곰국년의 무대를 봤을때 라면스프없는 라면이었지만 김연아 무대는 그냥 진수성찬이 올려진 밥상 그 자체였음.,753,없음
99,김진호,진짜 너무 화가치밀어 오르는게  소트니코바 저년이  금메달 따자마자 달려가서 껴안는 저 금발 할매가 점수 매겨주는 심판인데  저거 ㅅㅂ진짜 문제 있는거 아니냐;;  하아.....,1.4천,없음
100,으으,김연아 선수는 언제나 이런결과들을 받을때마다 어느정도는 예상하고 있다고 하네요.. 참 안타까운 현실입니다..,9,없음
101,JD P,전세계피겨인들은 다안다. 그녀는 피겨역사상 가장위대한 선수라는것을 카트리나비트도 그가 최고라고 했다.,82,없음
102,rute fure,"점수 나오고 시원하게 웃는 김연아를 보고 완전 반했습니다. 보통 인간이라면 결과에 집착하는게 당연한건데, 김연아는 정말 훌륭한 스포츠우먼입니다.",0,없음
103,김민지,이탈리아분들께 참 감사하기도 하고 두분 다 너무 귀여우신듯 ࠅ ヲ ㅋ꙼̈ ࠅ ヲ ㅋ꙼̈ 𐨛 𐌅 ࠅ ㅋ꙼̈ ヲ ㅋ꙼̈ 𐨛 𐌅 ࠅ ヲ,132,없음
104,형따TV,상황 대처 ㅈㄴ 멋있다.,0,없음
105,최예원,자존심 엄청 상했을 거 같은데 멘탈이 진짜 갑이다..그냥 멋있다는 말 밖에 안 나옴..,0,없음
106,모락산돌이끼,앞으로도 절대로 나올수 없는 레전드 기록을 가진 여왕,1,없음
107,어비스,저거 생방송으로 본사람으로 서 말하자면 진짜 말이안됨 ㅋㅋㅋ,427,없음
108,이미의,와 진짜 내가 연아 선수였다면 저기서 바로 오열했을것 같아 ㅠㅠㅠㅠㅠㅠㅠ,7,없음
109,앙.기모띠,해외 해설자분들도 화를내꺼면서까지 인정해주고 정말공정하게바라봐주시고 감사하네요. 이건우리나라도배울점인듯...,1,없음
110,구월의 눈,근데 정말 해설 위원들이 피겨라는 종목을 사랑하는 게 보인다.,66,없음
111,an9ler,세계 제일의 장인이 만든 최고의 작품을 이길려면 조작과 폄하를 할수밖에 비록 은메달 이었지만 지나고보니 이게 김연아의 위대함과 가치를 더 높여줬음 조작없이는 이길수 없는 선솨,5,없음
112,안성숙,그래도 저때 이탈리아 해설가들이 대신 화내줘서 그나마 마음이 좀 시원했네요,5,없음
113,마른풀향기니,더이상 피겨가 좋지도 매력있지도 않은 이유가 바로 이것. 대놓고 비겁했어;;,1.3천,없음
114,서해다슬기🐚,언젠가는 꼭 다시 금메달이ㅠㅠ 울 연아퀸에게 제주인에게 다시 돌아오길 기도해요..ㅠㅠ♡♡♡ 만약 메달에게 마음이 있다면.. 울 연아퀸의 소치금메달은.. 그 못난이 집에서 아직도 울고 있을 꺼에요.. 연아퀸에게 가고 싶다요..ㅠㅠ,4,없음
115,리엘,김연아는 진짜 역사로 남을 사람이다 이건 그냥 넘사벽 그 이상 수준이다,2,없음
116,메롱,외국에서 이렇게 극찬을 받는 모습을 보니 벅차네요 ㅠ,0,없음
117,김현영,이건 볼때마다 눈물나네요..,1,없음
118,권영신,마라톤과 같은 매일매일 혹독한 연습 실력발휘 유지 하는것도 쉽지 않은데 언제나 그녀는 완벽함를 보여 주었다 훌륭한 대단한 선수다♡..♡,1,없음
119,박은혜,저건 도둑질이죠  뭐 저건 너도 알고 나도 알고 모두가 아는 일....개최국이란 이름으로 하는 도둑질,1.8천,없음
120,이언주,실력이 너무 띄어나서 메달 따위는 필요없었던거예요 우린 연아의 실력이 아름다운 학 이라는것을 잘알고 있잖아요 세계가 인정하고 있어요 그리고 즐거운 감동을 주는 연아에게 감사하고 있어요 그동안 수고하셨고 건강한 모습으로 우리 기억속에 연아킹을 잊지않을겁니다.,1,없음
121,이성규,진짜 존나 어이없네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ김연아도 존나 어이없어서 웃잖아,1.6천,없음
122,얀조셉,아무도 인정하지 않는 금메달과 누구나 인정하는 은메달 이것이 품격이다,0,없음
123,기염잉양,다시 봐도 빡친다 진짜 그 와중에 김연아 그냥 받아들이는 거 개 멋지다 나같으면 빡쳐서 점수보고 난리칠 것 같은데 개 멋져 역시 퀸연아 진짜 피겨 역사상 다시는 이런 사람 없음 실력 인성 모든 걸 가졌어 ㅠㅠ,21,없음
124,J N,경지에 다다라서 자신이 최고임을 모두가 인정하기에 메달 색 때윈 상관 없을 정도의 경지에 다다른거군요 ..,16,없음
125,응아니야,21세기이후  참가한 모든 피겨 대회에서 시상대에 오른 유일한선수.,0,없음
126,William,이게 진짜 더빡치는건 소트니코바는 경기중에 삐끗해서 넘어질 뻔 했다는거임 편파판정 받을거면 최소한 실수라도 하지말던가 실수 한 사람이 세상완벽한사람보다 점수높은게 말이되냐,7,없음
127,Stigma,난 피알못이지만 다들 허우적 거리는 오리를 보는거 같아서 저게 뭐 아름다워라고 생각했었는데 퀸연아의 연기를 본 후 아 이게 피겨구나 아 이렇게 아름다운 종목이구나 라는걸 느꼈음 아마 나만 그렇지는 않을거라 생각함,732,없음
128,이정민,이탈리아 해설에서 분노가 느껴진닼ㅋㅋㅋ 아니 근데 진짜 저게 말이 돼.....?!,40,없음
129,최민욱,내가 본 모든 스포츠를 통틀어 플레이가 아름답다고 느끼게 만든 선수가 딱 두명이 있다. 조던과 김연아,7,없음
130,호돗,소트니코바라는 선수가 차라리 진짜 잘했다면 이렇게 화나지도 않지 어찌 그런 무대를 금메달을 줄수있어,90,없음
131,Arum Lim,ㅠㅠㅠㅠㅠ 맘아프다,1,없음
132,김다인,이건 지금봐도 맘  아포요,0,없음
